420 1000 Loss: 1.013 | Acc: 74.679% (3144/4210)
440 1000 Loss: 1.010 | Acc: 74.762% (3297/4410)
460 1000 Loss: 1.012 | Acc: 74.816% (3449/4610)
480 1000 Loss: 1.010 | Acc: 74.927% (3604/4810)
500 1000 Loss: 1.010 | Acc: 74.930% (3754/5010)
520 1000 Loss: 1.007 | Acc: 74.933% (3904/5210)
540 1000 Loss: 1.003 | Acc: 74.991% (4057/5410)
560 1000 Loss: 0.998 | Acc: 75.080% (4212/5610)
580 1000 Loss: 0.997 | Acc: 75.146% (4366/5810)
600 1000 Loss: 0.998 | Acc: 75.141% (4516/6010)
620 1000 Loss: 1.003 | Acc: 74.960% (4655/6210)
640 1000 Loss: 0.997 | Acc: 75.101% (4814/6410)
660 1000 Loss: 1.004 | Acc: 75.068% (4962/6610)
680 1000 Loss: 1.001 | Acc: 75.095% (5114/6810)
700 1000 Loss: 0.998 | Acc: 75.235% (5274/7010)
720 1000 Loss: 0.998 | Acc: 75.284% (5428/7210)
740 1000 Loss: 0.997 | Acc: 75.169% (5570/7410)
760 1000 Loss: 0.995 | Acc: 75.230% (5725/7610)
780 1000 Loss: 1.000 | Acc: 75.186% (5872/7810)
800 1000 Loss: 1.006 | Acc: 75.119% (6017/8010)
820 1000 Loss: 1.009 | Acc: 75.079% (6164/8210)
840 1000 Loss: 1.007 | Acc: 75.077% (6314/8410)
860 1000 Loss: 1.000 | Acc: 75.285% (6482/8610)
880 1000 Loss: 0.999 | Acc: 75.289% (6633/8810)
900 1000 Loss: 0.997 | Acc: 75.383% (6792/9010)
920 1000 Loss: 1.001 | Acc: 75.288% (6934/9210)
940 1000 Loss: 0.997 | Acc: 75.356% (7091/9410)
960 1000 Loss: 1.000 | Acc: 75.380% (7244/9610)
980 1000 Loss: 0.998 | Acc: 75.443% (7401/9810)
Saving..

Epoch: 167
0 391 Loss: 0.023 | Acc: 100.000% (128/128)
20 391 Loss: 0.027 | Acc: 99.777% (2682/2688)
40 391 Loss: 0.026 | Acc: 99.867% (5241/5248)
60 391 Loss: 0.026 | Acc: 99.885% (7799/7808)
80 391 Loss: 0.026 | Acc: 99.875% (10355/10368)
100 391 Loss: 0.026 | Acc: 99.892% (12914/12928)
120 391 Loss: 0.026 | Acc: 99.871% (15468/15488)
140 391 Loss: 0.026 | Acc: 99.873% (18025/18048)
160 391 Loss: 0.026 | Acc: 99.879% (20583/20608)
180 391 Loss: 0.026 | Acc: 99.875% (23139/23168)
200 391 Loss: 0.026 | Acc: 99.872% (25695/25728)
220 391 Loss: 0.026 | Acc: 99.876% (28253/28288)
240 391 Loss: 0.026 | Acc: 99.874% (30809/30848)
260 391 Loss: 0.026 | Acc: 99.868% (33364/33408)
280 391 Loss: 0.026 | Acc: 99.872% (35922/35968)
300 391 Loss: 0.026 | Acc: 99.878% (38481/38528)
320 391 Loss: 0.026 | Acc: 99.878% (41038/41088)
340 391 Loss: 0.026 | Acc: 99.876% (43594/43648)
360 391 Loss: 0.026 | Acc: 99.866% (46146/46208)
380 391 Loss: 0.026 | Acc: 99.865% (48702/48768)
0 1000 Loss: 1.719 | Acc: 50.000% (5/10)
20 1000 Loss: 0.926 | Acc: 76.667% (161/210)
40 1000 Loss: 0.874 | Acc: 77.561% (318/410)
60 1000 Loss: 0.997 | Acc: 74.918% (457/610)
80 1000 Loss: 0.949 | Acc: 76.173% (617/810)
100 1000 Loss: 1.011 | Acc: 74.851% (756/1010)
120 1000 Loss: 0.999 | Acc: 75.455% (913/1210)
140 1000 Loss: 0.981 | Acc: 75.816% (1069/1410)
160 1000 Loss: 0.996 | Acc: 75.652% (1218/1610)
180 1000 Loss: 1.017 | Acc: 75.138% (1360/1810)
200 1000 Loss: 1.000 | Acc: 75.473% (1517/2010)
220 1000 Loss: 1.001 | Acc: 75.294% (1664/2210)
240 1000 Loss: 1.015 | Acc: 74.896% (1805/2410)
260 1000 Loss: 0.998 | Acc: 75.287% (1965/2610)
280 1000 Loss: 1.003 | Acc: 75.160% (2112/2810)
